"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"UQCC",0.545435727850716,0.0254078413579371,21.4672203028507,3.15323508479545e-102,"UQCC",6.3064701695909e-98
"ZMYM2",0.545407425607191,0.0259253457979671,21.0376143044525,2.96946293699738e-98,"ZMYM2",5.93892587399475e-94
"CSE1L.3",0.544805987435357,0.0244097841551055,22.3191644782081,2.40746469510347e-110,"CSE1L.3",4.81492939020694e-106
"JMY",0.543174809429104,0.0207059709620123,26.2327620581342,1.12434212509591e-151,"JMY",2.24868425019182e-147
"UPF3A.1",0.543120090961481,0.025125438737935,21.616342569233,1.26081934715658e-103,"UPF3A.1",2.52163869431315e-99
"NIPBL.2",0.543038154076027,0.0271424334541107,20.0069811350604,4.78779869768039e-89,"NIPBL.2",9.57559739536078e-85
"SLC12A1.1",0.541716103197593,0.0284030827144048,19.0724404334765,4.27863619821421e-81,"SLC12A1.1",8.55727239642843e-77
"SERF1A /// SERF1B",0.540084043997786,0.0280024932445303,19.2869984569421,6.90685908528293e-83,"SERF1A /// SERF1B",1.38137181705659e-78
"ARGLU1",0.536598130482389,0.0244868655063382,21.9137124898038,1.92253896960084e-106,"ARGLU1",3.84507793920168e-102
"GIN1.1",0.536000169475324,0.0267827318887735,20.0129012865935,4.25168110472687e-89,"GIN1.1",8.50336220945375e-85
"THAP8",0.535955418577157,0.0254997136677545,21.0180955582609,4.48053541532755e-98,"THAP8",8.96107083065509e-94
"ITSN1.3",0.535772695032193,0.0236822985591441,22.6233401160008,2.55394355208263e-113,"ITSN1.3",5.10788710416526e-109
"PHF20.2",0.534891793565563,0.0259545830024589,20.6087608309827,2.29019929009275e-94,"PHF20.2",4.5803985801855e-90
"APBB2",0.534352989580865,0.0219763961799637,24.3148596887803,1.36519581796119e-130,"APBB2",2.73039163592237e-126
"LOC100190939.1",0.534267333361148,0.0295576536207288,18.0754311629955,4.9764824710343e-73,"LOC100190939.1",9.95296494206859e-69
"C2orf86",0.533982562409295,0.0291906063584635,18.2929589009538,9.41623539117134e-75,"C2orf86",1.88324707823427e-70
"MAP4K4.2",0.532546303659162,0.020771057270877,25.6388635741639,5.6280308545775e-145,"MAP4K4.2",1.1256061709155e-140
"B4GALT5",0.531964957629908,0.0203343350529624,26.1609222157677,7.40317878267658e-151,"B4GALT5",1.48063575653532e-146
"TBC1D12.1",0.531947561696567,0.0221888673338796,23.9736239661207,5.24096566932952e-127,"TBC1D12.1",1.0481931338659e-122
"NOS1AP",0.530853122548047,0.0302987410200331,17.5206330255457,9.97097660107257e-69,"NOS1AP",1.99419532021451e-64
"C10orf32",0.529319861464448,0.0245166628786426,21.5902084261867,2.22009386940129e-103,"C10orf32",4.44018773880259e-99
